QuestionText,CognitiveLevel,Category,Intent
احسبْ الضغط الناتج عن قوة مقدارها 200 نيوتن على مساحة 2 متر مربع.,تطبيق,العلوم,حساب
احسبْ الزمن اللازم لقطع مسافة 200 كم بسرعة 80 كم/ساعة.,تطبيق,العلوم,حساب
احسبْ الكتلة اللازمة لرفع درجة حرارة 1 لتر من الماء من 25 درجة مئوية إلى 75 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الكثافة لمادة كتلتها 300 غرام وحجمها 0.5 متر مكعب.,تطبيق,العلوم,حساب
احسبْ الزمن اللازم لتسخين 1 لتر من الزيت من 20 درجة مئوية إلى 100 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الكتلة اللازمة لتبريد 2 لتر من الماء من 80 درجة مئوية إلى 20 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ المسافة التي يقطعها جسم يسير بسرعة 15 متر/ثانية خلال 30 ثانية.,تطبيق,العلوم,حساب
احسبْ الطاقة اللازمة لتسخين 3 لتر من الماء من 30 درجة مئوية إلى 90 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الكتلة النوعية لمادة حجمها 1.5 متر مكعب وكتلتها 4.5 كيلوغرام.,تطبيق,العلوم,حساب
احسبْ الزمن اللازم لقطع مسافة 150 كم بسرعة 60 كم/ساعة.,تطبيق,العلوم,حساب
احسبْ الكتلة اللازمة لتبريد 3 لتر من الزيت من 90 درجة مئوية إلى 30 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الطاقة الناتجة عن حرق 10 كيلوغرام من الخشب.,تطبيق,العلوم,حساب
احسبْ الزمن اللازم لتسخين 2 لتر من الماء من 40 درجة مئوية إلى 100 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الكتلة النوعية لمادة حجمها 3 متر مكعب وكتلتها 9 كيلوغرام.,تطبيق,العلوم,حساب
احسبْ المسافة التي يقطعها جسم خلال 15 ثانية بسرعة 25 متر/ثانية.,تطبيق,العلوم,حساب
احسبْ الطاقة الكهربائية المستخدمة لتشغيل جهاز كهربائي قدرته 2000 واط لمدة 2 ساعات.,تطبيق,التكنولوجيا,حساب
احسبْ الضغط الناتج عن قوة مقدارها 300 نيوتن على مساحة 3 متر مربع.,تطبيق,العلوم,حساب
احسبْ الزمن اللازم لقطع مسافة 250 كم بسرعة 100 كم/ساعة.,تطبيق,العلوم,حساب
احسبْ الكتلة اللازمة لرفع درجة حرارة 2 لتر من الماء من 20 درجة مئوية إلى 80 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الكثافة لمادة كتلتها 400 غرام وحجمها 0.8 متر مكعب.,تطبيق,العلوم,حساب
احسبْ الزمن اللازم لتسخين 1.5 لتر من الزيت من 30 درجة مئوية إلى 90 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الكتلة اللازمة لتبريد 4 لتر من الماء من 60 درجة مئوية إلى 10 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ المسافة التي يقطعها جسم يسير بسرعة 20 متر/ثانية خلال 40 ثانية.,تطبيق,العلوم,حساب
احسبْ الطاقة اللازمة لتسخين 2.5 لتر من الماء من 35 درجة مئوية إلى 95 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الكتلة النوعية لمادة حجمها 2 متر مكعب وكتلتها 5 كيلوغرام.,تطبيق,العلوم,حساب
احسبْ الزمن اللازم لقطع مسافة 180 كم بسرعة 90 كم/ساعة.,تطبيق,العلوم,حساب
احسبْ الكتلة اللازمة لتبريد 2.5 لتر من الزيت من 70 درجة مئوية إلى 20 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الطاقة الناتجة عن حرق 7 كيلوغرام من الفحم.,تطبيق,العلوم,حساب
احسبْ الزمن اللازم لتسخين 1 لتر من الماء من 25 درجة مئوية إلى 85 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الكتلة النوعية لمادة حجمها 1 متر مكعب وكتلتها 3 كيلوغرام.,تطبيق,العلوم,حساب
احسبْ المسافة التي يقطعها جسم خلال 20 ثانية بسرعة 30 متر/ثانية.,تطبيق,العلوم,حساب
احسبْ الطاقة الكهربائية المستخدمة لتشغيل جهاز كهربائي قدرته 1500 واط لمدة 4 ساعات.,تطبيق,التكنولوجيا,حساب
احسبْ الضغط الناتج عن قوة مقدارها 250 نيوتن على مساحة 2.5 متر مربع.,تطبيق,العلوم,حساب
احسبْ الزمن اللازم لقطع مسافة 300 كم بسرعة 120 كم/ساعة.,تطبيق,العلوم,حساب
احسبْ الكتلة اللازمة لرفع درجة حرارة 1.5 لتر من الماء من 30 درجة مئوية إلى 90 درجة مئوية.,تطبيق,العلوم,حساب
احسبْ الكثافة لمادة كتلتها 350 غرام وحجمها 0.7 متر مكعب.,تطبيق,العلوم,حساب
"استنتج الرقم التالي في هذه السلسلة العددية: 2، 4، 6، 8،...؟",تحليل,التعليم,حساب
احسب تكلفة تنفيذ مشروع الطاقة الشمسية لمدينة صغيرة؟,تطبيق,البيئة والطاقة,حساب
احسب الوقت اللازم لإنجاز المشروع بناءً على الموارد المتاحة.,تطبيق,الاقتصاد والعمل,حساب
احسب المسافة بين الأرض والشمس.,معرفة,العلوم,حساب
احسب متوسط العمر المتوقع للإنسان في العالم.,معرفة,الصحة,حساب
احسب سرعة الضوء في الفراغ.,معرفة,العلوم,حساب
احسب متوسط درجات الحرارة في الصيف في القاهرة.,معرفة,الجغرافيا,حساب
احسب نسبة النمو السكاني في العالم خلال السنوات العشر الماضية.,تحليل,الجغرافيا,حساب
احسب النسبة المئوية للزيادة في عدد السكان خلال العقد الماضي.,تحليل,الجغرافيا,حساب
احسب الكتلة المولية لجزيء الماء.,تحليل,العلوم,حساب
احسب عدد الأيام بين 1 يناير و 31 ديسمبر في سنة غير كبيسة.,تطبيق,التاريخ,حساب
احسب المسافة بين الأرض والقمر في متوسط المسافة.,تطبيق,العلوم,حساب
احسب المسافة التي يقطعها الضوء في سنة واحدة.,تطبيق,العلوم,حساب
احسب المسافة بين الأرض والشمس.,تطبيق,العلوم,حساب
احسب المسافة بين الأرض والقمر.,تطبيق,العلوم,حساب
علام يدل أن زيادة الوزن تشير إلى مخاطر صحية؟,فهم,الصحة,شرح
كيفَ تُفضلُ قضاءَ وقتِ الفراغ؟,فهم,الثقافة,رأي
كيفَ تُخططُ لمستقبلِك؟,تقييم,التعليم,رأي
كيفَ تُحافظُ على صحتِك؟,تطبيق,الصحة,رأي
كيفَ تُخططُ ليومِكَ؟,معرفة,الثقافة,رأي
كيفَ تُحافظُ على لياقتِك؟,تطبيق,الصحة,رأي
كيفَ تُنظمُ وقتَك؟,تقييم,الثقافة,رأي
كيفَ تُخططُ لمستقبلِك المهني؟,معرفة,الاقتصاد والعمل,رأي
كيفَ تُحافظُ على علاقاتِك؟,تطبيق,الثقافة,رأي
كيفَ تُنظمُ مالَك؟,تطبيق,الاقتصاد والعمل,رأي
"ماذا لو اختفت جميع الألوان من العالم، كيف ستبدو الحياة؟",تحليل,الثقافة,رأي
ماذا لو كانت السيارات تطير بدلاً من السير على الأرض؟,تحليل,التكنولوجيا,رأي
"ماذا لو كان البشر يعيشون في الماء بدلاً من اليابسة، كيف ستتغير الحضارات؟",تحليل,الثقافة,رأي
"ماذا لو كنت تستطيع رؤية المستقبل، كيف ستستفيد من هذه القدرة؟",تحليل,الثقافة,رأي
"ماذا لو كانت النباتات تصدر أصواتاً عند النمو، كيف سيؤثر ذلك على البيئة؟",تحليل,البيئة والطاقة,رأي
"ماذا لو كانت جميع الأجهزة الإلكترونية تعمل بالعقل البشري، كيف ستتغير التكنولوجيا؟",تحليل,التكنولوجيا,رأي
"ماذا لو كانت هناك مدينة تحت الماء، كيف ستكون الحياة فيها؟",تحليل,الثقافة,رأي
"إذا كانت الأشجار تطير، كيف ستبدو الغابات؟",تحليل,البيئة والطاقة,رأي
"ماذا لو كانت الشمس تشرق وتغرب مرتين في اليوم، كيف سيتغير الروتين اليومي؟",تحليل,التعليم,رأي
"ماذا لو كان بإمكانك التحكم في الطقس، كيف ستستفيد من هذه القدرة؟",تحليل,التكنولوجيا,رأي
"إذا كانت جميع الطيور تغني أغاني بشرية، كيف سيؤثر ذلك على الطبيعة؟",تحليل,الثقافة,رأي
"إذا كانت الأحلام تتحقق فوراً، كيف ستتغير حياتك؟",فهم,الثقافة,رأي
"إذا كان بإمكانك التواصل مع النباتات، كيف ستستفيد من ذلك؟",فهم,التعليم,رأي
ماذا لو كانت السيارات تستطيع التحدث مع سائقيها؟,فهم,التكنولوجيا,رأي
"ماذا لو كانت هناك مدن تطفو في السماء، كيف ستكون الحياة فيها؟",فهم,الثقافة,رأي
"ماذا لو كانت الأرض مسطحة، كيف سيتغير العلم؟",فهم,التعليم,رأي
"إذا كانت هناك مدن على القمر، كيف ستكون الحياة هناك؟",فهم,الثقافة,رأي
"إذا كان بإمكانك العيش في أعماق المحيط، كيف ستبدو حياتك؟",فهم,الثقافة,رأي
ماذا لو كانت هناك جزر تطفو في الهواء؟,فهم,البيئة والطاقة,رأي
ماذا لو كانت هناك مدن مخفية تحت الأرض؟,فهم,الثقافة,رأي
ماذا لو كانت هناك حيوانات تستطيع تغيير شكلها؟,فهم,البيئة والطاقة,رأي
"إذا كان بإمكانك التحكم في الزمن، كيف ستستفيد من هذه القدرة؟",فهم,التكنولوجيا,رأي
ماذا لو كانت هناك مخلوقات خيالية تعيش بيننا؟,تحليل,الثقافة,رأي
"إذا كان بإمكانك العيش في الفضاء، كيف ستكون حياتك؟",تحليل,العلوم,رأي
ماذا لو كانت هناك ألوان جديدة لم تكتشف بعد؟,تحليل,التعليم,رأي
ماذا لو كانت هناك آلات تستطيع التفكير والشعور؟,تحليل,التكنولوجيا,رأي
ماذا لو كانت هناك مخلوقات تحت الأرض؟,تحليل,البيئة والطاقة,رأي
ماذا لو كانت هناك نباتات تستطيع المشي؟,تحليل,البيئة والطاقة,رأي
ماذا لو كانت هناك كائنات تستطيع التحكم في الأفكار؟,تحليل,الثقافة,رأي
ماذا لو كانت هناك أشياء تستطيع الطيران بدون أجنحة؟,تحليل,التكنولوجيا,رأي
ماذا لو كانت هناك أنهار تجري في السماء؟,تحليل,البيئة والطاقة,رأي
ماذا لو كانت هناك حيوانات تستطيع التحدث بلغات بشرية؟,تحليل,البيئة والطاقة,رأي
"إذا كان بإمكانك التحكم في الأحلام، كيف ستستفيد من هذه القدرة؟",تحليل,الصحة,رأي
ماذا لو كانت هناك مدن عائمة على الماء؟,تحليل,الثقافة,رأي
ماذا لو كانت هناك كائنات تعيش في النجوم؟,تحليل,العلوم,رأي
ماذا لو كانت هناك نباتات تستطيع الغناء؟,تحليل,البيئة والطاقة,رأي
ماذا لو كانت هناك حيوانات تستطيع التحدث عبر الإنترنت؟,تحليل,التكنولوجيا,رأي
ماذا لو كانت هناك كائنات تستطيع تغيير الطقس؟,تحليل,التكنولوجيا,رأي
ماذا لو كانت هناك نباتات تستطيع الطيران؟,تحليل,البيئة والطاقة,رأي
ماذا لو كانت هناك كائنات تعيش في الكواكب البعيدة؟,تحليل,العلوم,رأي
ماذا لو كانت هناك كائنات تستطيع التحكم في الزمن؟,تحليل,العلوم,رأي
ماذا لو كانت هناك نباتات تستطيع التحرك بحرية؟,تحليل,البيئة والطاقة,رأي
ماذا لو كانت هناك كائنات تستطيع التحكم في الأفكار؟,تحليل,الثقافة,رأي
ماذا لو كانت هناك نباتات تستطيع التنقل؟,تحليل,البيئة والطاقة,رأي
ماذا لو كانت هناك كائنات تستطيع التحكم في الأحلام؟,تحليل,الصحة,رأي
ماذا لو كانت هناك نباتات تستطيع التحدث؟,تحليل,البيئة والطاقة,رأي
ماذا لو كانت هناك كائنات تستطيع التحكم في الزمن؟,تحليل,العلوم,رأي
ماذا لو كانت هناك نباتات تستطيع الغناء؟,تحليل,البيئة والطاقة,رأي
ماذا لو كانت هناك كائنات تعيش في النجوم؟,تحليل,العلوم,رأي
كيف يمكن للناس التكيف إذا كانت الأرض تتجمد ليلًا وتذوب نهارًا؟,تحليل,البيئة والطاقة,رأي
كيف سيكون شكل المجتمع إذا كان الجميع يمتلك قدرات خارقة مثل الطيران؟,تحليل,التكنولوجيا,رأي
كيف سيتغير التعليم إذا تم اكتشاف وسيلة لنقل المعرفة مباشرة إلى الدماغ؟,تحليل,التعليم,رأي
كيف ستكون الحياة على الأرض إذا كانت المحيطات تتكون من عصير البرتقال بدلًا من الماء؟,تحليل,البيئة والطاقة,رأي
كيف يمكن للحكومات تنظيم المرور إذا كانت السيارات تسير على الطرق في السماء؟,تحليل,التكنولوجيا,رأي
كيف سيتعامل البشر إذا كان الطعام يتحدث ويعبر عن مشاعره؟,تحليل,الثقافة,رأي
كيف سيؤثر التعايش بين البشر والكائنات الفضائية في المجتمع؟,تحليل,الثقافة,رأي
كيف سيكون تأثير العيش في مدينة تحت الماء على النواحي الاقتصادية والاجتماعية؟,تحليل,الاقتصاد والعمل,رأي
كيف يمكن للحيوانات أن تعبر عن نفسها إذا كانت تتحدث لغة البشر؟,تحليل,العلوم,رأي
كيف ستتغير طبيعة العمل إذا كان الجميع يعمل أربع ساعات فقط في الأسبوع؟,تحليل,الاقتصاد والعمل,رأي
من سيكون القائد المثالي لكوكب حيث يمكن للسكان التنبؤ بالمستقبل؟,تحليل,السياسة والقانون,رأي
من يمكنه العيش في مجتمع حيث يكون السفر عبر الزمن متاحًا للجميع؟,تحليل,العلوم,رأي
من سيكون البطل في عالم حيث يمكن للحيوانات التحدث والعمل جنبًا إلى جنب مع البشر؟,تحليل,الثقافة,رأي
من سيصبح الرئيس في دولة حيث يكون التفاعل الافتراضي هو الوسيلة الوحيدة للتواصل؟,تحليل,السياسة والقانون,رأي
من يمكنه تحمل مسؤولية مدينة بأكملها إذا كانت تتنقل عبر الزمن بشكل عشوائي؟,تحليل,السياسة والقانون,رأي
من سيقود الثورة إذا استيقظ البشر ليجدوا أن جميع الأجهزة الإلكترونية قد اختفت؟,تحليل,السياسة والقانون,رأي
من سيكون الأكثر شهرة في مجتمع يتكون بالكامل من نسخ مستنسخة لأشخاص معروفين؟,تحليل,الثقافة,رأي
من سيؤلف الموسيقى في عالم حيث يتم إنشاء الألحان بواسطة الذكاء الاصطناعي فقط؟,تحليل,الثقافة,رأي
من سيكون المبدع الأول في عالم حيث تكون الأفكار الجديدة ملكًا للجميع بمجرد التفكير فيها؟,تحليل,الثقافة,رأي
من سيكون الزعيم في مجتمع حيث تكون الأحلام واقعًا يوميًا يعيشها الناس؟,تحليل,الثقافة,رأي
بمَ يمكن قياس درجة الحرارة؟,معرفة,العلوم,رأي
أينَ تُحبُّ السفر؟,تطبيق,السفر والسياحة,رأي
أينَ تحبُّ قضاءَ العطلات؟,معرفة,السفر والسياحة,رأي
أينَ تُحبُّ التسوق؟,تقييم,الثقافة,رأي
أينَ تُحبُّ ممارسةَ الرياضة؟,معرفة,الرياضة,رأي
أينَ تُحبُّ الاسترخاء؟,معرفة,الثقافة,رأي
أينَ تُحبُّ قضاءَ العطلاتِ الصيفية؟,معرفة,السفر والسياحة,رأي
أينَ تُفضلُ قضاءَ وقتِ الفراغ؟,تقييم,الثقافة,رأي
أينَ تُفضلُ قضاءَ العطلاتِ الشتوية؟,معرفة,السفر والسياحة,رأي
أينَ تُحبُّ قضاءَ وقتِ الفراغ؟,تطبيق,الثقافة,رأي
أينَ ستذهبُ في عطلتِك؟,تطبيق,السفر والسياحة,رأي
اذكر أهمية الرياضة في حياة الإنسان,معرفة,الرياضة,رأي
استنتج ما هي العبرة المستفادة من تجارب الحياة.,تحليل,الثقافة,رأي
استنتج التأثير المحتمل لتكنولوجيا الذكاء الاصطناعي على سوق العمل.,تحليل,التكنولوجيا,رأي
أعرب عن رأيك في التعليم العالي.,تقييم,التعليم,رأي
أعرب عن مشاعرك تجاه الأدب.,تقييم,الثقافة,رأي
أعرب عن رأيك في التكنولوجيا.,تقييم,التكنولوجيا,رأي
أعرب عن رأيك في الفنون الجميلة.,تقييم,الثقافة,رأي
أعرب عن رأيك في الفن الحديث.,تقييم,الثقافة,رأي
أعرب عن رأيك في التعليم عن بُعد.,تقييم,التعليم,رأي
أعرب عن رأيك في الأدب العربي.,تقييم,الثقافة,رأي
أعرب عن رأيك في الفنون الحديثة.,تقييم,الثقافة,رأي
أعرب عن رأيك في تطوير المهارات.,تقييم,التعليم,رأي
أعرب عن رأيك في القراءة اليومية.,تقييم,الثقافة,رأي
أعرب عن مشاعرك تجاه الصداقة.,تقييم,الثقافة,رأي
أعرب عن مشاعرك تجاه العائلة.,تقييم,الثقافة,رأي
أعرب عن رأيك في الرياضة.,تقييم,الرياضة,رأي
أعرب عن مشاعرك تجاه النوم الجيد.,تقييم,الصحة,رأي
أعرب عن رأيك في الحفاظ على اللياقة البدنية.,تقييم,الصحة,رأي
أعرب عن مشاعرك تجاه الصحة النفسية.,تقييم,الصحة,رأي
أعرب عن رأيك في الأكل الصحي.,تقييم,الصحة,رأي
أعرب عن مشاعرك تجاه السفر.,تقييم,السفر والسياحة,رأي
أعرب عن رأيك في العمل الجماعي.,تقييم,التعليم,رأي
أعرب عن رأيك في السفر إلى الخارج.,تقييم,السفر والسياحة,رأي
أعرب عن مشاعرك تجاه التطوع.,تقييم,التطوع,رأي
أعرب عن رأيك في العمل الحر.,تقييم,الاقتصاد والعمل,رأي
أعرب عن رأيك في العمل المكتبي.,تقييم,الاقتصاد والعمل,رأي
أعرب عن مشاعرك تجاه التطوع في المجتمع.,تقييم,التطوع,رأي
أعرب عن مشاعرك تجاه السفر.,تقييم,السفر والسياحة,رأي
أعرب عن مشاعرك تجاه القراءة.,تقييم,الثقافة,رأي
أعرب عن مشاعرك تجاه الفنون الجميلة.,تقييم,الثقافة,رأي
أعرب عن مشاعرك تجاه الموسيقى.,تقييم,الثقافة,رأي
أعرب عن مشاعرك تجاه تعلم اللغات.,تقييم,الثقافة,رأي
أعرب عن رأيك في الموسيقى الكلاسيكية.,تقييم,الثقافة,رأي
أعرب عن مشاعرك تجاه الطبيعة.,تقييم,الثقافة,رأي
أعرب عن مشاعرك تجاه القراءة في الهواء الطلق.,تقييم,الثقافة,رأي
أعرب عن رأيك في الحفاظ على البيئة.,تقييم,الثقافة,رأي
أعرب عن مشاعرك تجاه الرياضة.,تقييم,الرياضة,رأي
أعرب عن مشاعرك تجاه التعلم المستمر.,تقييم,التعليم,رأي
أعرب عن رأيك في تنظيم الوقت.,تقييم,التعليم,رأي
أعرب عن رأيك في تحسين الذات.,تقييم,التعليم,رأي
أعرب عن اهتمامك بالتعلم المستمر.,تقييم,التعليم,رأي
أعرب عن اهتمامك بالصحة النفسية.,تقييم,الصحة,رأي
أعرب عن اهتمامك بالبيئة.,تقييم,الثقافة,رأي
أعرب عن رأيك في قضية التغير المناخي.,تقييم,البيئة والطاقة,رأي
أعرب عن مشاعرك نحو التعليم الإلكتروني.,تقييم,التعليم,رأي
أعرب عن وجهة نظرك في دور المرأة في المجتمع.,تقييم,الثقافة,رأي
أعرب عن رأيك في تأثير التكنولوجيا على الحياة اليومية.,تقييم,التكنولوجيا,رأي
أعرب عن مشاعرك نحو الأدب الكلاسيكي.,تقييم,الثقافة,رأي
أعرب عن رأيك في التعليم الإلكتروني.,تقييم,التعليم,رأي
أعرب عن مشاعرك نحو الطبيعة.,تقييم,البيئة والطاقة,رأي
أعرب عن وجهة نظرك في دور التكنولوجيا في الحياة اليومية.,تقييم,التكنولوجيا,رأي
أعرب عن رأيك في أهمية القراءة.,تقييم,الثقافة,رأي
أعرب عن مشاعرك نحو الفن الكلاسيكي.,تقييم,الثقافة,رأي
أعرب عن رأيك في تأثير التغير المناخي.,تقييم,البيئة والطاقة,رأي
أعرب عن مشاعرك نحو العمل التطوعي.,تقييم,التطوع,رأي
أعرب عن وجهة نظرك في النظام الديمقراطي.,تقييم,السياسة والقانون,رأي
أعرب عن رأيك في فوائد الرياضة.,تقييم,الصحة,رأي
أعرب عن مشاعرك نحو السفر.,تقييم,الثقافة,رأي
أعرب عن رأيك في دور الإعلام في تشكيل الرأي العام.,تقييم,الثقافة,رأي
أعرب عن مشاعرك نحو الموسيقى الكلاسيكية.,تقييم,الثقافة,رأي
أعرب عن وجهة نظرك في أهمية التعليم.,تقييم,التعليم,رأي
أعرب عن رأيك في تأثير التكنولوجيا على الأطفال.,تقييم,التكنولوجيا,رأي
أعرب عن مشاعرك نحو الأدب العربي.,تقييم,الثقافة,رأي
أعرب عن رأيك في أهمية النظافة الشخصية.,تقييم,الصحة,رأي
أعرب عن مشاعرك نحو الفنون التشكيلية.,تقييم,الثقافة,رأي
أعرب عن وجهة نظرك في دور المرأة في المجتمع.,تقييم,الثقافة,رأي
أعرب عن رأيك في فوائد التغذية السليمة.,تقييم,الصحة,رأي
أعرب عن مشاعرك نحو الفلك.,تقييم,العلوم,رأي
أعرب عن رأيك في تأثير وسائل التواصل الاجتماعي.,تقييم,التكنولوجيا,رأي
أعرب عن مشاعرك نحو الثقافة المحلية.,تقييم,الثقافة,رأي
أعرب عن وجهة نظرك في أهمية العمل الجماعي.,تقييم,الثقافة,رأي
أعرب عن رأيك في دور الشباب في المجتمع.,تقييم,الثقافة,رأي
أعرب عن مشاعرك نحو التاريخ.,تقييم,التاريخ,رأي
أعرب عن رأيك في تأثير الإعلام على الشباب.,تقييم,الثقافة,رأي
أعرب عن مشاعرك نحو الفنون المسرحية.,تقييم,الثقافة,رأي
أعرب عن وجهة نظرك في أهمية الصحة النفسية.,تقييم,الصحة,رأي
أعرب عن رأيك في فوائد السفر الثقافي.,تقييم,الثقافة,رأي
أعرب عن مشاعرك نحو التكنولوجيا الحيوية.,تقييم,التكنولوجيا,رأي
أعرب عن رأيك في تأثير التلوث البيئي.,تقييم,البيئة والطاقة,رأي
أعرب عن مشاعرك نحو الأدب العالمي.,تقييم,الثقافة,رأي
أعرب عن وجهة نظرك في دور الرياضة في حياة الإنسان.,تقييم,الصحة,رأي
أعرب عن رأيك في أهمية القراءة للأطفال.,تقييم,التعليم,رأي
أعرب عن مشاعرك نحو الفنون الموسيقية.,تقييم,الثقافة,رأي
أعرب عن رأيك في تأثير الذكاء الاصطناعي.,تقييم,التكنولوجيا,رأي
أعرب عن مشاعرك نحو التراث الثقافي.,تقييم,الثقافة,رأي
أعرب عن وجهة نظرك في أهمية الحفاظ على البيئة.,تقييم,البيئة والطاقة,رأي
أعرب عن رأيك في فوائد التعلم المستمر.,تقييم,التعليم,رأي
أعرب عن مشاعرك نحو الفنون السينمائية.,تقييم,الثقافة,رأي
أعرب عن رأيك في دور التعليم العالي.,تقييم,التعليم,رأي
أعرب عن مشاعرك نحو الأدب الشعبي.,تقييم,الثقافة,رأي
أعرب عن وجهة نظرك في أهمية الصحة البدنية.,تقييم,الصحة,رأي
أعرب عن رأيك في تأثير وسائل الإعلام الحديثة.,تقييم,الثقافة,رأي
أعرب عن مشاعرك نحو الفن المعاصر.,تقييم,الثقافة,رأي
أعرب عن وجهة نظرك في دور المؤسسات الثقافية.,تقييم,الثقافة,رأي
أعرب عن رأيك في فوائد العمل الحر.,تقييم,الاقتصاد والعمل,رأي
أعرب عن مشاعرك نحو الفلك والتنجيم.,تقييم,العلوم,رأي
أعرب عن وجهة نظرك في أهمية التعاون الدولي.,تقييم,السياسة والقانون,رأي
أعرب عن رأيك في تأثير العولمة.,تقييم,الاقتصاد والعمل,رأي
أعرب عن رأيك في مسألة تغير المناخ.,تقييم,البيئة والطاقة,رأي
"إذا كان بإمكانك السفر عبر الزمن، إلى أي فترة زمنية ستسافر ولماذا؟",تحليل,الثقافة,رأي
"إذا كان بإمكانك الدخول إلى أي قصة خيالية، أي قصة ستختار؟",تحليل,الثقافة,رأي
"إذا كان بإمكانك العيش في أي كوكب في النظام الشمسي، أي كوكب ستختار؟",فهم,التعليم,رأي
"إذا كان بإمكانك السفر إلى العوالم الخيالية، أي عالم ستختار؟",فهم,الثقافة,رأي
"إذا كان بإمكانك العيش في أي فترة زمنية في الماضي، أي فترة ستختار؟",فهم,التعليم,رأي
"إذا كان بإمكانك العيش داخل أي لوحة فنية، أي لوحة ستختار؟",فهم,الثقافة,رأي
"إذا كان بإمكانك السفر عبر الزمن إلى المستقبل، إلى أي زمن ستذهب؟",تحليل,التكنولوجيا,رأي
"إذا كان بإمكانك العيش في أي عالم خيالي، أي عالم ستختار؟",تحليل,الثقافة,رأي
"إذا كان بإمكانك العيش في أي عصر جيولوجي، أي عصر ستختار؟",تحليل,التعليم,رأي
"إذا كان بإمكانك العيش في أي بعد من الأبعاد، أي بعد ستختار؟",تحليل,العلوم,رأي
"إذا كان بإمكانك العيش في أي فترة تاريخية، أي فترة ستختار؟",تحليل,التعليم,رأي
"إذا كان بإمكانك العيش في أي عالم خيالي، أي عالم ستختار؟",تحليل,الثقافة,رأي
"إذا كان بإمكانك العيش في أي فترة زمنية، أي فترة ستختار؟",تحليل,التعليم,رأي
"إذا كان بإمكانك العيش في أي بعد من الأبعاد، أي بعد ستختار؟",تحليل,العلوم,رأي
"إذا كان بإمكانك الطيران بدون أجنحة، إلى أين ستذهب أولاً؟",تحليل,الثقافة,رأي
"إذا كانت الحيوانات تعيش في منازل بشرية، أين سيعيش البشر؟",تحليل,الثقافة,رأي
"إذا كان بإمكانك العيش في أي مكان في الكون، أين ستختار؟",تحليل,العلوم,رأي
"إذا كان بإمكانك العيش في أي مكان في الفضاء، أين ستذهب؟",تحليل,العلوم,رأي
"إذا كان بإمكانك العيش في أي مكان في الكون، أين ستختار؟",تحليل,العلوم,رأي
"إذا كان بإمكانك العيش في أي مكان في الفضاء، أين ستذهب؟",تحليل,العلوم,رأي
بمَ تُفضِّلُ العملَ؟,فهم,الاقتصاد والعمل,رأي
بمَ تفضِّلُ الكتابة؟,فهم,الثقافة,رأي
بمَ تُحبُّ القراءة؟,فهم,الثقافة,رأي
بمَ تُحبُّ الطهي؟,فهم,الثقافة,رأي
بمَ تُفضلُ العملَ الجماعي؟,فهم,الاقتصاد والعمل,رأي
بمَ تفضِّلُ السفر؟,فهم,الترفيه,رأي
بمَ تُحبُّ الرسم؟,فهم,الثقافة,رأي
بمَ تُفضلُ الاستماعَ للموسيقى؟,فهم,الثقافة,رأي
بمَ تُحبُّ التطوع؟,فهم,التطوع,رأي
بمَ تُفضلُ قراءةَ الكتب؟,فهم,الثقافة,رأي
بمَ تُفضلُ الكتابةَ في وقتِ الفراغ؟,فهم,الثقافة,رأي
بمَ تُفضلُ الرياضة؟,فهم,الرياضة,رأي
بمَ تُحبُّ السفر؟,فهم,الترفيه,رأي
بمَ تفضِّلُ العملَ الحر؟,فهم,الاقتصاد والعمل,رأي
بمَ تُحبُّ مشاهدةَ الأفلام؟,فهم,الترفيه,رأي
بمَ تُفضلُ القراءةَ في الصباح؟,فهم,الثقافة,رأي
بمَ تُفضلُ الرسمَ في الطبيعة؟,فهم,الثقافة,رأي
بمَ تُحبُّ الكتابة؟,فهم,الثقافة,رأي
بمَ تُفضلُ الاستماعَ للموسيقى؟,فهم,الثقافة,رأي
بمَ تُفضلُ القراءةَ في المكتبة؟,فهم,الثقافة,رأي
بمَ تقضي وقتَك؟,معرفة,الثقافة,رأي
بمَ تعتمدُ في دراستِك؟,معرفة,التعليم,رأي
بمَ تستمتعُ؟,معرفة,الثقافة,رأي
بمَ تقضي عطلاتِك؟,فهم,الترفيه,رأي
بمَ تعتمدُ في العملِ؟,فهم,الاقتصاد والعمل,رأي
بمَ تجدُ راحتَك؟,فهم,الثقافة,رأي
بمَ تستندُ في قراراتِك؟,فهم,الثقافة,رأي
بمَ تعتمدُ في تحسينِ نفسِك؟,فهم,التعليم,رأي
بمَ تجدُ سعادتَك؟,فهم,الثقافة,رأي
بمَ تجدُ سعادتَك؟,فهم,الثقافة,رأي
